field_1	heap
field_10163	BROWN_STAINED_GLASS_PANE
field_10164	LAVA
field_10165	CYAN_BANNER
field_10166	BONE_BLOCK
field_10167	RAIL
field_10168	MELON_STEM
field_10169	HORN_CORAL
field_1017	bonusMultiplier
field_10170	GREEN_WOOL
field_10171	GLOWSTONE
field_10172	LIGHT_GRAY_CONCRETE
field_10173	MOSSY_STONE_BRICK_STAIRS
field_10174	SEA_LANTERN
field_10175	PURPUR_SLAB
field_10176	INFESTED_CHISELED_STONE_BRICKS
field_10177	WITHER_SKELETON_SKULL
field_10178	DARK_OAK_WOOD
field_10179	NOTE_BLOCK
field_1018	source
field_10180	LIME_BED
field_10181	FURNACE
field_10182	DANDELION
field_10183	CAKE
field_10184	ORANGE_TERRACOTTA
field_10185	GRAY_BANNER
field_10186	BRAIN_CORAL_WALL_FAN
field_10187	OAK_WALL_SIGN
field_10188	OAK_FENCE_GATE
field_10189	GRANITE_SLAB
field_1019	KILLER
field_10190	PRISMARINE_BRICK_STAIRS
field_10191	BRICK_SLAB
field_10192	POTTED_SPRUCE_SAPLING
field_10193	LIGHT_BLUE_STAINED_GLASS_PANE
field_10194	DIRT_PATH
field_10195	TURTLE_EGG
field_10196	DARK_OAK_FENCE_GATE
field_10197	WHITE_CONCRETE_POWDER
field_10198	GREEN_BANNER
field_10199	WHITE_SHULKER_BOX
field_102	BANNER_GREEN
field_1020	KILLER_PLAYER
field_10200	DISPENSER
field_10201	DIAMOND_BLOCK
field_10202	WHITE_WALL_BANNER
field_10203	LIGHT_BLUE_SHULKER_BOX
field_10204	STRIPPED_BIRCH_WOOD
field_10205	GOLD_BLOCK
field_10206	PURPLE_CONCRETE
field_10207	MOSSY_COBBLESTONE_STAIRS
field_10208	PLAYER_WALL_HEAD
field_10209	LIGHT_GRAY_CARPET
field_1021	$VALUES
field_10210	ORANGE_CONCRETE
field_10211	BAMBOO
field_10212	IRON_ORE
field_10213	NETHER_QUARTZ_ORE
field_10214	TALL_GRASS
field_10215	MAGENTA_WOOL
field_10216	DIORITE_STAIRS
field_10217	SPRUCE_SAPLING
field_10218	ACACIA_PLANKS
field_10219	GRASS_BLOCK
field_1022	THIS
field_10220	GRAY_GLAZED_TERRACOTTA
field_10221	DEAD_HORN_CORAL_FAN
field_10222	LIGHT_GRAY_WOOL
field_10223	JUKEBOX
field_10224	LIGHT_WEIGHTED_PRESSURE_PLATE
field_10225	PACKED_ICE
field_10226	ALLIUM
field_10227	ORANGE_STAINED_GLASS
field_10228	DROPPER
field_10229	LIME_BANNER
field_1023	BLOCK_ENTITY
field_10230	MAGENTA_BED
field_10231	BIRCH_SIGN
field_10232	ACACIA_DOOR
field_10233	CYAN_CONCRETE_POWDER
field_10234	EMERALD_BLOCK
field_10235	CYAN_TERRACOTTA
field_10236	PRISMARINE_BRICK_SLAB
field_10237	QUARTZ_SLAB
field_10238	TALL_SEAGRASS
field_10239	DEAD_HORN_CORAL_WALL_FAN
field_1024	param
field_10240	RED_MUSHROOM_BLOCK
field_10241	ZOMBIE_HEAD
field_10242	LIGHT_BLUE_CONCRETE
field_10243	VOID_AIR
field_10244	STRIPPED_DARK_OAK_LOG
field_10245	SMOOTH_QUARTZ_STAIRS
field_10246	DARK_OAK_TRAPDOOR
field_10247	POTATOES
field_10248	CYAN_STAINED_GLASS
